,"S1 (SBS1 - 0.99)","S2 (SBS2 - 0.99)","S3 (SBS3 - 0.97)","S4 (SBS4 - 0.98)","S5 (SBS5 - 0.98)","S6 (SBS7a - 1.00)","S7 (SBS7b - 0.96)","S8 (SBS8 - 0.92)","S9 (SBS9 - 0.94)","S10 (SBS10a - 1.00)","S11 (SBS10d - 0.98)","S12 (SBS11 - 0.99)","S13 (SBS13 - 0.99)","S14 (SBS14 - 0.98)","S15 (SBS15 - 0.97)","S16 (SBS17 - 0.99)","S17 (SBS18 - 0.97)","S18 (SBS19 - 0.95)","S19 (SBS20 - 0.98)","S20 (SBS22 - 0.99)","S21 (SBS23 - 0.94)","S22 (SBS26 - 0.94)","S23 (SBS28 - 0.96)","S24 (SBS31 - 0.98)","S25 (SBS32 - 0.94)","S26 (SBS44 - 0.97)","S27 (SBS88 - 0.92)","S28 (SBS92 - 0.95)","S29 (SBS97 - 0.95)"
"04c09376-8756-41d9-bbca-f464170a8cfb",0,0,0,8749.44828534215,0,60082.6471752712,7798.18352939411,0,0,0,0,0,0,0,0,0,0,0,1311.24247502766,0,0,448.777017226463,281.430251540313,820.475126721808,0,0,1398.83357903263,0,160.525597091457
"04db8bef-8777-48ac-bc2e-3c9acb103f48",632.207257654223,326.326414831122,2727.98670486001,0,734.175214853823,142.205624481661,41.3012613056928,0,649.268893362062,0,58.1341126724783,19.6835302948777,192.777147674655,0,0,0,0,0,0,0,0,0,253.009077671588,0,0,0,0,795.364238766983,0
"05070acd-3ec1-44bb-9c32-26d3a483a72a",4327.8526276646,167.847216681269,0,0,0,47.1571817737279,0,0,0,87.4386543486041,83.9968604672515,0,37.6947580080798,0,90.7787411969001,44.6397496041971,0,0,0,87.9224791744908,0,0,0,0,0,0,0,0,139.942068989473
"052665d1-ab75-4f40-be5a-b88154c8beed",1890.98100188156,47.9603777291397,1871.58250315601,245.828208159062,867.334718679318,82.0847325848851,0,861.122996796572,0,0,0,0,13.9463839697956,0,0,0,360.317884362533,0,0,0,54.0835214445922,0,0,0,8.36889671596784,0,278.113693151489,0,0
"05486349-24a4-4931-bf5f-c9fefe369af2",4618.90850828316,0,0,0,0,35.6889400017772,0,0,0,0.42013650468945,223.79718956014,0,0,104.144192090548,98.7242254549418,0,895.303037455865,0,0,0,0,0,0,0,0,0,262.402627088541,0,0
"0554ffe5-31f7-43f5-8372-2b73c9cf3527",841.882816100309,297.284692200806,341.35967859897,391.402061502592,124.585768326727,287.424440243111,0,52.387129897837,0,181.369734863985,172.66195183367,42.9708922421581,63.7262678509128,263.805133226204,79.4793265577009,0,1163.96977448251,85.3037319036118,0,19.4619278536161,0,0,0,0,16.0008547447454,138.299582760789,156.08746244974,395.090137556826,0
"05616329-e7ba-4efd-87b1-d79cd0f7af3d",1855.94138911596,105.604517021945,0,0,788.537466897911,199.326115811394,58.929498927738,0,3676.64233642346,0,0,0,0,0,0,750.413266234871,0,296.943781880214,0,76.092692734519,0,60.9076357301905,0,0,100.629716112736,376.52319752411,494.671204666217,0,150.999898987676
"05780d48-80e7-4d70-b00c-081f8a9519f2",22126.8531376087,0,0,0,0,0,0,0,0,0,0,0,0,0,1602.75120095278,1868.35097960007,0,0,11325.4357030626,0,0,14508.9475576545,0,0,0,40234.5684791646,0,0,5665.18351468809
"05c487aa-72d8-42e6-aa2b-b9b5ce273f5c",233.704711002047,0,40.7813821183424,0,1250.42161679794,0,0,211.66587022342,0,0,0,0,2.99052392726101,0,0,0,0,52.1744984650943,0,0,0,0,0,0,0,21.9166242433099,276.263661033395,266.721011400936,0
"05da3161-1444-4188-914d-19762de3a443",495.449636347331,0,0,31.0294503285373,419.541985607601,0,0,0,948.078162659002,0,0,0,0,0,0,32.8958409407807,0,0,14.7977132790672,0,2.5801576626034,0,54.6963051382601,0,28.967343106135,0,109.526640728245,0,0
